timestamp,AmbientLightSensor,DecibelSource,PitchSensor,LinearAccelerometerSensor,AccX,AccY,AccZ,BarometerSensor,CompassSensor,MagneticRotationSensor
1556798721695,,,,1.9290067267253654,,,,,,
1556798721696,,,,,,,,,137.1661538557572,35.843960285855715
1556798721705,,36.161718122951385,,,,,,,,
1556798721712,,,114.8388671875,,,,,,,
1556798721739,,35.89068658913685,114.8388671875,,,,,,,
1556798721776,,,,3.855413341800437,-0.10295381397008896,3.5195839405059814,9.220352172851562,1012.52685546875,134.49610996579415,
1556798721777,27159.0,,,,,,,,,35.57559738028632
1556798721779,,35.38950633190616,114.8388671875,,,,,,,
1556798721784,,,71.9169921875,,,,,,,
1556798721794,29283.0,,,,-0.4597007632255554,4.300117492675781,5.308107376098633,,124.25492432427703,
1556798721802,,,,2.406979239798618,,,,,128.3627093741494,
1556798721803,,,,,,,,,,35.209009173210625
1556798721818,,35.33382633490713,71.9169921875,,,,,,,
1556798721819,,,,,,,,1012.534423828125,,
1556798721844,,,,,0.742225170135498,4.529967784881592,6.668055534362793,,129.24389939972943,
1556798721858,,35.941530514292445,71.9169921875,,,,,,,
1556798721861,,,,2.0242350416805075,,,,,124.42099354375671,35.11661003876842
1556798721891,29283.0,,,,,,,,,
1556798721898,,35.7526268026105,71.9169921875,,,,,,,
1556798721899,,,,,-0.7254652380943298,,,,,
1556798721900,,,,,,4.776578426361084,6.718335151672363,,126.1166972882391,
1556798721921,,,,0.6313251866046967,,,,1012.539306640625,133.77335300820172,35.19755609481442
1556798721938,,34.58986668780879,,,,,,,,
1556798721959,27450.0,,,,0.3663240373134613,4.2594146728515625,,,,
1556798721960,,,,,0.6632141470909119,3.718308687210083,11.001692771911621,,136.61952015610274,
1556798721978,,35.58367567130293,,,,,,,,
1556798721980,,,67.12002999441964,,,,,,,
1556798721981,,,,3.384168533691653,,,,,141.1546701423428,34.89679585143044
1556798722009,27450.0,,,,,,,,,
1556798722018,,35.52977061483245,67.12002999441964,,,,,,,
1556798722019,,,,,0.07422251999378204,3.847599506378174,12.237138748168945,1012.53173828125,138.93147088826035,
1556798722020,,,,,0.4716721475124359,4.084632873535156,11.23393726348877,,138.08072984600022,
1556798722042,,,,1.8817360361026358,,,,,,
1556798722043,,,,,,,,,141.7846867913848,34.06990877280918
1556798722058,,36.13233986817352,67.12002999441964,,,,,,,
1556798722080,,,,,0.6129343509674072,3.9433705806732178,8.107014656066895,,134.93217656316443,
1556798722081,,,,,1.6017698049545288,,,,146.39744138697458,
1556798722098,,37.11583297834673,,,,,,,,
1556798722101,,,,2.988930306350535,,,,,145.56553800644534,34.570726598155495
1556798722109,27450.0,,,,,,,,,
1556798722119,,,,,,,,1012.5302734375,,
1556798722138,,36.63251179724908,,,,,,,,
1556798722143,32621.0,,,,0.9720755815505981,2.4613144397735596,12.787821769714355,,143.10546779194684,
1556798722162,,,,2.1336516242207955,,,,,144.54592736714585,33.76278318146435
1556798722178,,37.25239480556957,,,,,,,,
1556798722183,,,115.19022623697917,,,,,,,
1556798722200,,,,,0.5099805593490601,2.7749645709991455,8.7031888961792,,,
1556798722201,,,,,,,,,138.32788707130632,
1556798722202,,,,,-0.8308133482933044,2.6600394248962402,8.909096717834473,,135.83070160885796,
1556798722210,32621.0,,,,,,,,,
1556798722219,,36.72558842857085,115.19022623697917,,,,,,,
1556798722223,,,,1.3659344407682037,,,,,,
1556798722226,,,,,,,,1012.54931640625,137.33682662273748,
1556798722227,,,,,,,,,,34.93896346504109
1556798722259,,37.38311764299907,115.19022623697917,,,,,,,
1556798722261,,,,,0.8044763207435608,3.186779737472534,8.918673515319824,,139.521339685361,
1556798722264,,,114.67976888020833,,,,,,,
1556798722283,,,,1.4790480749739363,,,,,140.1593886368669,34.474373347948834
1556798722299,,38.12864871733754,114.67976888020833,,,,,,,
1556798722321,38495.0,,,,,,,,,
1556798722322,,,,,1.0367209911346436,3.1412885189056396,9.153312683105469,1012.55419921875,140.82111102403607,
1556798722325,38495.0,,,,,,,,,
1556798722339,,38.35771288406876,114.67976888020833,,,,,,,
1556798722344,,,,0.3419603229451035,,,,,138.4825908560071,33.67817501388145
1556798722346,,,78.92846873449902,,,,,,,
1556798722381,,38.10823944734098,78.92846873449902,,-0.2011190801858902,3.7566170692443848,8.18363094329834,,,
1556798722382,,,,,0.26337021589279175,3.9792847633361816,7.728719234466553,,136.1324866871458,
1556798722403,,,,1.3480649466617292,,,,,138.74720604483173,33.83436038267731
1556798722419,,37.379701776037635,78.92846873449902,,,,,,,
1556798722420,,,,,,,,1012.56005859375,,
1556798722426,38495.0,,,,,,,,,
1556798722442,,,,,0.6105400919914246,,,,,
1556798722443,,,,,,4.065478801727295,7.834067344665527,,139.52524655356623,
1556798722464,,37.95616288035519,78.92846873449902,1.18475818323552,,,,,141.681728519836,34.02613613678713
1556798722469,,,114.62565104166666,,,,,,,
1556798722499,,39.35036948843154,114.62565104166666,,,,,,,
1556798722501,25426.0,,,,,,,,,
1556798722502,,,,,1.1253091096878052,,,,,
1556798722503,,,,,0.11492519080638885,4.6640472412109375,7.537177085876465,,139.4139691116084,
1556798722523,,,,0.5838933254952152,,,,1012.550048828125,147.66789755373196,33.634481869502366
1556798722526,25426.0,,,,,,,,,
1556798722539,,37.99559064193896,114.62565104166666,,,,,,,
1556798722544,,,114.81255425347223,,,,,,,
