timestamp,AmbientLightSensor,DecibelSource,PitchSensor,LinearAccelerometerSensor,AccX,AccY,AccZ,BarometerSensor,CompassSensor,MagneticRotationSensor
1557947493913,,21.084219595019604,,,,,,,,
1557947493935,42.0,,,,,,,,,
1557947493941,47.0,,,1.7783325127859229,0.9577099084854126,0.5099805593490601,10.364815711975098,,148.69459792938994,47.26636665738827
1557947493942,,,,,,1.3838908672332764,,,,
1557947493954,,26.91876021749694,0.0,,,,,,,
1557947493978,,,,,,,,1004.42822265625,,
1557947493998,,27.00260136880984,,,,,,,,
1557947494001,,,,1.3261185243462663,0.6799740195274353,1.302485466003418,8.549955368041992,,148.5581444101514,47.62658474944682
1557947494033,,18.77046006678701,,,,,,,,
1557947494034,,,0.0,,,,,,,
1557947494042,47.0,,,,,,,,,
1557947494061,,,,1.2185672720839988,,,,,,
1557947494062,,,,,0.4597007632255554,0.6847625970840454,9.220352172851562,,149.40101707448767,47.34627328072399
1557947494074,,22.244129562410713,,,,,,,,
1557947494078,,,,,,,,1004.418701171875,,
1557947494113,,29.334961830481248,0.0,,,,,,,
1557947494121,52.0,,,3.274474350772158,0.9481328129768372,2.288926601409912,6.481301784515381,,148.1899562327527,47.425434312536034
1557947494153,,25.356614682159186,,,,,,,,
1557947494158,52.0,,,,,,,,,
1557947494181,,,,,1.0032011270523071,,9.09345531463623,,153.24425523742713,47.33802201252037
1557947494182,,,,1.4931631044593068,,0.8164477348327637,,1004.4189453125,,
1557947494193,,29.196345007748068,,,,,,,,
1557947494233,,26.79581872257156,,,,,,,,
1557947494234,,,0.0,,,,,,,
1557947494243,,,,2.396074454295472,1.2809370756149292,1.8795057535171509,7.450983047485352,,154.5595857470315,47.24397022169443
1557947494258,52.0,,,,,,,,,
1557947494273,,32.258887807611416,,,,,,,,
1557947494278,,,,,,,,1004.4189453125,,
1557947494301,54.0,,,1.4314252787710695,1.0032011270523071,2.1931557655334473,8.379961967468262,,154.94162554806698,46.63987979549538
1557947494313,,28.471282950521264,,,,,,,,
1557947494314,,,0.0,,,,,,,
1557947494354,,22.52593000347295,,,,,,,,
1557947494359,54.0,,,,,,,,,
1557947494361,,,,1.134029918127979,0.9577099084854126,,9.694418907165527,,157.6851349527427,46.45150778602454
1557947494362,,,,,1.1205205917358398,1.484450340270996,9.857229232788086,,160.93391443145927,
1557947494378,,,,,,,,1004.412109375,,
1557947494394,,16.647176404219618,0.0,,,,,,,
1557947494421,,,,2.2603036409824404,,,7.846038341522217,,,
1557947494422,,,,,1.0032011270523071,3.3663504123687744,8.825297355651855,,157.5848267945919,46.4978697250683
1557947494434,,20.486219008408245,,,,,,,,
1557947494459,54.0,,,,,,,,,
1557947494474,,27.201958799561385,,,,,,,,
1557947494480,,,,1.4475624511107363,,,,,,
1557947494481,52.0,,,,0.03351984918117523,1.4221992492675781,10.223553657531738,1004.403076171875,161.76492988739636,45.72495768883509
1557947494514,,29.142843773288792,0.0,,,,,,,
1557947494545,,,,1.5617422936989638,-0.5482889413833618,2.6528565883636475,10.939441680908203,,162.2760192826101,46.36528748550566
1557947494554,,28.86256293551495,,,,,,,,
1557947494575,52.0,,,,,,,,,
1557947494577,,,,,,,,1004.403076171875,,
1557947494594,,27.808913961390175,0.0,,,,,,,
1557947494600,,,,2.262623344136275,-1.3240339756011963,2.7175018787384033,11.506884574890137,,165.53026291266266,47.06884236698614
1557947494601,,,,,-1.6496553421020508,2.889889717102051,11.300976753234863,,166.70397628001598,
1557947494634,,29.35163822845719,,,,,,,,
1557947494662,47.0,,,2.035008049838854,-2.171607255935669,3.873936653137207,10.477346420288086,,165.48114019215194,46.266030117214584
1557947494674,,28.572418721825322,0.0,,,,,,,
1557947494678,,,,,,,,1004.392578125,,
1557947494680,47.0,,,,,,,,,
1557947494715,,27.544605843369432,,,,,,,,
1557947494721,,,,1.3969797816223166,,,9.452596664428711,,,
1557947494722,,,,,-2.051893472671509,2.4277946949005127,8.638543128967285,,166.73734858430066,46.75497624530995
1557947494754,,19.30786792589323,,,,,,,,
1557947494786,47.0,,,1.3925109247844056,-2.0064022541046143,2.3104751110076904,9.18443775177002,1004.392578125,167.14825276476864,46.16273651642566
1557947494794,,14.26549987521086,0.0,,,,,,,
1557947494834,,14.020077969163605,,,,,,,,
