timestamp,AccX,AccY,AccZ,BarometerSensor,BrightnessEV,CompassSensor,LinearAccelerometerSensor,MagneticRotationSensor,PitchSensor,DecibelSource
1557947495718,-0.9701325988769531,3.786376190185547,8.589887237548828,999.1874694824219,0.39535383793067636,216.15878295898438,0.1341012440679666,49.46292154873517,0.0,22.69512944217916
1557947495755,-0.6574328613281251,3.306324462890625,9.004225616455079,999.1636657714844,0.43244315666589656,224.87408447265625,0.15380523786505082,49.46291994501901,0.0,19.68482948553935
1557947495820,-1.4347663879394532,3.315754852294922,10.31190628051758,999.1636657714844,0.4968918643927386,229.31761169433594,0.39822857254786326,49.46292001703574,0.0,21.172712956557646
1557947495902,-0.6785389709472657,1.6700770568847658,11.162437591552735,999.1636657714844,0.417721650959131,229.31761169433594,0.6509050641391844,49.46291150108485,0.0,22.227164711475833
1557947495954,-0.0383203125,1.2467573547363282,9.443711700439454,999.1636657714844,0.22824385209541811,240.37185668945312,0.4202479337077143,49.462909141432775,0.0,24.578818967339924
1557947496023,0.6370751953125,0.5084925842285156,10.291548614501954,999.1636657714844,-0.09075553459124831,245.14508056640625,0.32844812046870914,51.20462762971367,0.0,22.20108088040055
1557947496088,-0.683778076171875,1.8217117309570314,9.87945556640625,999.1636657714844,-0.13474618509573563,245.66897583007812,0.2927483834594207,51.2046241141885,0.0,20.293837776852097
1557947496154,-0.48514114379882817,0.9190887451171875,9.325906677246094,999.1636657714844,-0.27318957535506044,250.5268096923828,0.18649976338714408,51.20462079769006,0.0,19.344984512435676
1557947496220,-0.9598040771484375,1.2796888732910157,9.9249609375,999.1636657714844,-0.31951836656466703,254.7841796875,0.2018291432961358,51.204608470029946,0.0,19.138138523837167
1557947496287,-0.880169677734375,0.9678872680664063,10.040670318603516,999.1636657714844,-0.41914958599732677,261.6978454589844,0.07577319298889162,51.20460306059458,0.0,16.434526764861875
1557947496354,-0.143701171875,2.25850341796875,7.987240447998047,999.1636657714844,-0.5275067640877453,265.50396728515625,0.6151668182456148,51.20459856398948,0.0,20.453229787866576
