timestamp,AmbientLightSensor,DecibelSource,PitchSensor,LinearAccelerometerSensor,AccX,AccY,AccZ,BarometerSensor,CompassSensor,MagneticRotationSensor
1557947613493,,27.464213288603318,,,,,,,,
1557947613503,,,54.1552734375,,,,,,,
1557947613533,,28.110420035691806,,,,,,,,
1557947613534,,,54.1552734375,,,,,,,
1557947613573,,29.05191055011224,,,,,,,,
1557947613574,,,54.1552734375,,,,,,,
1557947613609,,,,,-1.335964560508728,2.389413356781006,,,292.0516115705557,
1557947613610,2.0,,,1.3219000396882032,,,8.967482566833496,999.5199584960938,291.3867404661791,28.509998489331007
1557947613613,,27.837830243942648,,,,,,,,
1557947613621,,,,1.8342296692240232,-2.212242364883423,2.8443117141723633,8.632294654846191,,301.4047974878903,29.6772646212617
1557947613653,,28.053411825418802,,,,,,,,
1557947613654,,,0.0,,,,,,,
1557947613684,,,,2.110977920156539,-2.073378562927246,3.203441858291626,8.287528991699219,,306.18887371843147,29.6772646212617
1557947613694,,28.90850489627583,,,,,,,,
1557947613741,2.0,,,,,,,,,
1557947613754,,37.8476119420679,,,,,,,,
1557947613759,,,,,-1.6089035272598267,2.494758129119873,,,306.18887371843147,29.6772646212617
1557947613761,,,,2.2184525411299862,,,9.254786491394043,999.5,,
1557947613764,,,186.33466448102678,,,,,,,
1557947613794,,35.20197743814122,186.33466448102678,,,,,,,
1557947613810,,,,,-1.1875240802764893,,,,,
1557947613826,,,,2.657001613416889,,1.4891934394836426,11.998541831970215,,279.011038746763,30.148632713174212
1557947613833,,33.87408551918065,,,,,,,,
1557947613834,,,186.33466448102678,,,,,,,
1557947613842,,,98.92578125,,,,,,,
1557947613862,2.0,,,,,,,,,
1557947613873,,33.56626900686586,,,,,,,,
1557947613874,,,98.92578125,,,,,,,
1557947613876,,,,,-0.1628057211637497,1.9632453918457031,,,281.2849794761895,29.75550458872222
1557947613877,,,,1.7655083946951065,,,11.309011459350586,,,
1557947613914,,32.20912107139675,98.92578125,,,,,,,
1557947613924,,,52.0703125,,,,,,,
1557947613943,,,,3.2897561399760704,-0.9672574996948242,2.0638017654418945,,999.5099487304688,281.5886701772557,29.75550458872222
1557947613944,,,,,,,12.779051780700684,,,
1557947613974,,32.47085598570356,52.0703125,,,,,,,
1557947613977,2.0,,,,,,,,,
1557947614009,,,,,0.06224924325942993,2.1308395862579346,,,282.5124874134458,29.76491312592466
1557947614010,,,,1.068132951861983,,,10.466252326965332,,,
1557947614013,,30.763718843896672,,,,,,,,
1557947614014,,,52.0703125,,,,,,,
1557947614053,,31.111119242903506,,,,,,,,
1557947614065,,,,1.2961272416435266,0.3256114423274994,1.9488801956176758,10.753557205200195,,279.36476741368875,29.76491312592466
1557947614093,,28.95860038915722,,,,,,,,
1557947614094,,,0.0,,,,,,,
1557947614096,2.0,,,,,,,,,
1557947614127,,,,1.3140667238292327,0.14844051003456116,2.5905263423919678,8.99621295928955,999.47998046875,279.77718789615244,29.27439291261049
1557947614133,,29.432855314867297,,,,,,,,
1557947614173,,29.960585897711063,,,,,,,,
1557947614194,,,,,0.4118026793003082,,,,,
1557947614195,,,,0.7246420305404885,,1.9249382019042969,9.139864921569824,,281.3141238933779,29.054089090165444
1557947614210,2.0,,,,,,,,,
1557947614234,,28.65050585626509,0.0,,,,,,,
1557947614265,,,,0.3151009089193791,0.023942016065120697,1.7094600200653076,9.570821762084961,,278.8766889257888,29.054089090165444
1557947614274,,28.66810503803198,,,,,,,,
1557947614314,,28.727873384452856,0.0,,,,,,,
1557947614328,,,,0.37515134538894557,0.4357447028160095,1.8531121015548706,,999.489990234375,278.22635246396607,29.21198397071684
1557947614329,,,,,,,8.852560997009277,,,
1557947614330,2.0,,,,,,,,,
1557947614353,,30.112639700488412,,,,,,,,
1557947614379,,,,,0.10055647045373917,1.6855180263519287,,,277.84574700265625,29.21198397071684
1557947614382,,,,0.26208191911187456,,,9.585186958312988,,,
1557947614394,,28.84231722560459,0.0,,,,,,,
1557947614434,,28.864639922083207,,,,,,,,
1557947614445,,,,,-0.4644751250743866,1.7621324062347412,,,279.4094710018065,29.247051253563672
1557947614446,2.0,,,0.5443993253999408,,,9.824606895446777,,,
1557947614494,,32.483906958569605,0.0,,,,,,,
1557947614513,,,,0.48709193537251655,-0.24420857429504395,1.8914192914962769,9.297882080078125,999.4599609375,277.91977942307005,28.908649118036067
1557947614534,,32.16038279280933,,,,,,,,
1557947614563,2.0,,,,,,,,,
1557947614573,,30.841972591678864,,,,,,,,
1557947614581,,,,1.244692980739624,-0.569819986820221,2.4899697303771973,10.341753959655762,,283.51849914610784,28.68780185997748
1557947614586,,,64.4033203125,,,,,,,
1557947614614,,31.769707190931555,64.4033203125,,,,,,,
1557947614633,,,,,-1.2832920551300049,,,,,
1557947614634,,,,1.9989100705022835,,2.3367409706115723,10.60032844543457,,284.25020365151295,28.73221146221856
1557947614654,,33.83408304602328,64.4033203125,,,,,,,
1557947614669,2.0,,,,,,,,,
1557947614707,,,,,-1.5131354331970215,0.828393816947937,,,283.68774440355156,
1557947614708,,,,2.0718814303153064,,,12.012907028198242,999.469970703125,,28.4355421146012
1557947614713,,33.70626220571811,,,,,,,,
1557947614753,,38.19854465689363,,,,,,,,
1557947614760,,,,1.8731543039773282,-1.015141487121582,2.2218191623687744,10.360907554626465,,282.185232559743,27.98731973103597
1557947614768,,,100.107421875,,,,,,,
1557947614793,,35.41020481887924,,,,,,,,
1557947614794,,,100.107421875,,,,,,,
1557947614808,2.0,,,,,,,,,
1557947614827,,,,,-0.08619125932455063,1.3982137441635132,,,272.1919486341515,28.030163508253743
1557947614828,,,,0.763703991929246,,,10.289081573486328,,,
1557947614833,,34.16264045800825,,,,,,,,
1557947614834,,,100.107421875,,,,,,,
1557947614873,,31.973423085724406,,,,,,,,
1557947614874,,,100.107421875,,,,,,,
1557947614886,,,91.726318359375,,,,,,,
1557947614900,,,,0.6975239080344581,-0.004788403399288654,2.1356279850006104,10.164583206176758,999.449951171875,270.51805368368895,27.744009370014695
1557947614913,,31.577977370041424,,,,,,,,
1557947614914,,,91.726318359375,,,,,,,
1557947614944,2.0,,,,,,,,,
1557947614945,,,,,-0.2346317619085312,1.3407529592514038,,,,
1557947614946,,,,0.8770652648321129,,,9.010578155517578,,272.1244868557193,28.425693180083577
1557947614973,,30.525524718528768,,,,,,,,
1557947614974,,,91.726318359375,,,,,,,
1557947615013,,31.03985707492981,,,,,,,,
1557947615031,,,,,-0.8188169598579407,,,,,
1557947615032,,,,1.4321812627607848,,0.5793967843055725,10.451887130737305,,261.38365921603736,28.425693180083577
1557947615054,,30.139803098924915,0.0,,,,,,,
1557947615077,,,,,-0.8188169598579407,,,,,
1557947615078,3.0,,,1.581123901887938,,2.892195701599121,8.943540573120117,999.47998046875,261.38365921603736,28.425693180083577
1557947615094,,31.153667419474054,,,,,,,,
1557947615134,,30.077726631863655,0.0,,,,,,,
1557947615144,,,,1.3490420969678742,-0.8619126081466675,2.0446481704711914,9.331400871276855,,281.8474182335833,28.425693180083577
1557947615174,,32.85933824954216,,,,,,,,
1557947615214,,,,1.8905918339113794,-1.0007762908935547,2.9688100814819336,9.08719253540039,,294.6259440196793,28.539271441639077
1557947615215,3.0,,,,,,,,,
1557947615233,,33.533875200075805,,,,,,,,
1557947615245,,,99.84537760416666,,,,,,,
1557947615274,,33.23031651816754,99.84537760416666,,,,,,,
1557947615278,,,,,-0.7182605266571045,1.8195933103561401,,,,
1557947615279,,,,1.8089451623536938,,,10.523713111877441,999.4599609375,296.21976183231266,28.539271441639077
1557947615314,,34.6253868402563,99.84537760416666,,,,,,,
1557947615323,,,99.84375,,,,,,,
1557947615345,,,,,-0.7948749661445618,,,,,
