timestamp,LinearAccelerometerSensor,AccX,AccY,AccZ,BarometerSensor
1557393761283,,,,9.813833236694336,
1557393761285,0.05177878233926739,-0.2059013396501541,,,
1557393761286,,,0.24899697303771973,,
1557393761301,0.27990483092901997,-0.21547815203666687,0.48602294921875,9.765948295593262,1000.13818359375
1557393761355,,,,9.885659217834473,
1557393761356,0.08922703168415162,-0.21787235140800476,0.1843535304069519,,
1557393761416,0.31077507319768277,-0.3711012601852417,0.05985504388809204,9.583989143371582,
1557393761476,0.4860170280903546,-0.16998831927776337,0.4836287498474121,10.20887565612793,1000.140625
1557393761537,,,,9.600749015808105,
1557393761538,0.38200977397692626,-0.3519476354122162,-0.08619125932455063,,
1557393761597,0.17259563745740594,-0.1867477297782898,0.19153612852096558,9.971850395202637,
1557393761660,,,,9.655815124511719,
1557393761661,0.2591097733835529,-0.26575639843940735,-0.019153613597154617,,1000.135009765625
1557393761719,0.23910234032055533,-0.13407529890537262,0.3471592366695404,9.964667320251465,
1557393761788,0.20026712757733553,-0.26575639843940735,0.040701430290937424,9.672574996948242,
1557393761840,0.12651835601862887,-0.17717093229293823,0.19153612852096558,9.923966407775879,1000.119140625
1557393761904,0.09938876648982219,-0.21787235140800476,0.2825157940387726,9.832986831665039,
1557393761970,,,,9.732429504394531,
1557393761971,0.3454210132448875,-0.5674257874488831,0.17238251864910126,,
1557393762023,,0.21547815203666687,,10.079588890075684,
1557393762024,0.6213363317683662,,0.5291185975074768,,1000.085205078125
1557393762088,,,,9.361329078674316,
1557393762089,0.5810970771778409,-0.40462008118629456,-0.22266076505184174,,
1557393762138,,,,10.649409294128418,
1557393762139,1.1721806445489535,-0.7852981686592102,-0.6416460275650024,,
1557393762198,,,,10.967838287353516,
1557393762199,2.891261345180974,2.207453966140747,1.4317326545715332,,999.940673828125
1557393762261,,,,11.659762382507324,
1557393762262,2.081117239718633,-0.33997663855552673,-1.50355863571167,,
1557393762318,,,,11.520898818969727,
1557393762319,1.8185051717194296,-0.8523358106613159,-1.1420341730117798,,
1557393762384,,-0.8667010068893433,,10.821791648864746,
